Age	LG	MG	HG	SiO2	Al2O3	Fe2O3	FeO	CaO	MgO	Na2O	K2O	TiO2
1	36.24	63.59	0.17	61.62	22.97	1.95	0.19	0.43	0.15	0.28	3.37	0.73
1	23.89	75.65	0.46	62.78	21.41	2.83	0.41	0.27	0.25	0.28	3.07	0.81
2	18.44	77.12	4.44	65.29	17.28	5	1.33	0.28	0.25	0.21	2.53	0.59
1	15.48	81.86	2.66	66.69	16.57	5.24	0.91	0.36	0.18	0.2	2.62	1.2
2	14.72	80.85	4.43	64.26	17.79	7.04	0.33	0.32	0.18	0.13	2.74	1.11
2	13.93	74.26	11.81	64.4	18.36	5.81	0.27	0.29	0.25	0.2	2.98	1.2
3	15.96	57.61	26.43	72.63	11.47	7.41	0.36	0.25	0.17	0.2	1.84	0.87
3	17.76	67.63	14.61	54.23	14.91	19.68	0.26	0.24	0.15	0.22	2.47	0.77
2	15.3	73.16	11.54	64.98	17.33	6.71	0.25	0.22	0.24	0.2	2.65	0.6
3	10.2	57.82	31.98	79.59	11.6	1.09	0.22	0.28	0.16	0.13	1.9	0.86
3	13.83	78.99	7.18	70.22	15.75	4.02	0.2	0.31	0.2	0.21	2.59	0.59
1	19.62	78.46	1.92	63.09	22.08	2.78	0.19	0.45	0.2	0.28	3.31	0.62
3	14.4	84.95	0.65	60.59	19.47	8.41	0.21	0.45	0.09	0.28	3.49	0.57
2	18.51	74.84	6.65	67.2	19.12	2.77	0.21	0.35	0.2	0.2	3.49	0.66
1	14.25	80.73	5.02	68.32	18.81	2.57	0.16	0.31	0.25	0.2	3.1	1.1
1	13.45	86.19	0.36	62.06	22.17	5.37	0.19	0.42	0.2	0.22	2.47	0.35
2	22.77	74.53	2.7	72.81	14.99	2.76	0.18	0.29	0.25	0.21	2.53	0.73
2	22.83	76.42	0.75	64.03	16.16	9.73	0.23	0.38	0.1	0.2	2.62	1.13
2	14.92	78.93	6.15	69.65	16.64	3.77	0.19	0.29	0.18	0.21	2.71	0.55
